"J","err[J]","","","",""
"0.0248588849902766","3.03207612778883e-05","","","",""
"Ar39Ar40","errAr39Ar40","Ar36Ar40","errAr36Ar40","Ar39Ar36","errAr39Ar36"
"0.432824521369381","8.39261283545903e-05","5.85736218066383e-05","3.65523107993138e-07","7389.41025020119","46.5925917878316"
"0.434350052964708","6.10271790840124e-05","4.70109295913035e-05","5.86188855912383e-07","9239.34193049987","115.058171889059"
"0.436412378389981","5.31202893470091e-05","3.06544187156258e-05","2.1784528583231e-07","14236.5243470601","100.733927273792"
"0.436619535734176","6.67607423252311e-05","2.7836771938992e-05","2.19584546170883e-07","15684.9916610692","123.178434016951"
"0.437701671574652","5.66148121293772e-05","1.92609257167092e-05","2.62130414911758e-07","22724.8512357294","310.162412641042"
"0.438246330601161","6.36263856564024e-05","1.53572792788405e-05","2.65114585579211e-07","28536.7168652708","494.028740389422"
"0.438570583173494","6.26782616522271e-05","1.15093804538782e-05","3.20281846680258e-07","38105.4901200798","1060.51513284967"
"0.438772659224516","5.10030994291375e-05","9.84400267505809e-06","2.28360523927182e-07","44572.5863460239","1033.2181114667"
"0.438954784293958","5.62729924849468e-05","7.79822010336754e-06","2.24610401382896e-07","56289.0991117836","1623.19163045864"
"0.438860496670455","6.23628079865785e-05","8.40090287331199e-06","2.76687050068463e-07","52239.6822447059","1718.48424420045"
"0.438802862603545","6.38415989683099e-05","1.01778776086955e-05","4.14865768498712e-07","43113.3954910847","1756.70712595195"
"0.438994116268012","5.94667571023239e-05","7.78975157343488e-06","3.77978309191455e-07","56355.3422891043","2736.09640770165"
"0.438904050694562","5.24139054159568e-05","8.71666472924067e-06","3.42902692399882e-07","50352.2923420729","1979.9548722249"
"0.438891348749996","5.86453430764535e-05","1.13833853765572e-05","2.50500361080471e-07","38555.4326970115","848.135970295479"
