K40Ca44,errK40Ca44,Ca40Ca44,errCa40Ca44,rho
54.749,3.092,94.316,5.251,0.849
65.793,4.093,99.996,6.150,0.859
79.784,5.440,113.167,7.646,0.870
79.413,5.366,101.120,6.775,0.867
89.754,6.423,111.515,7.921,0.875
102.107,7.649,118.681,8.834,0.881
130.123,10.859,139.815,11.612,0.893
119.797,9.648,126.548,10.139,0.888
139.483,12.010,145.562,12.479,0.896
135.326,11.529,140.150,11.887,0.894
152.376,13.564,151.266,13.414,0.900
153.985,13.653,146.845,12.973,0.899
144.645,12.317,132.800,11.266,0.895
184.432,17.852,177.120,17.091,0.908
160.832,14.483,149.376,13.405,0.901
218.380,22.881,204.152,21.336,0.915
147.093,12.435,134.613,11.338,0.896
174.808,16.124,160.950,14.800,0.905
185.403,17.466,162.860,15.300,0.907
193.415,18.297,168.628,15.910,0.908
186.420,17.410,166.888,15.542,0.907
173.443,15.426,149.031,13.217,0.903
197.103,18.644,171.947,16.222,0.909
152.612,12.720,135.733,11.275,0.897
166.930,14.407,149.985,12.904,0.902
175.897,15.176,149.926,12.899,0.903
180.054,15.766,157.136,13.720,0.905
198.422,18.289,170.538,15.679,0.909
219.557,20.757,179.796,16.961,0.913
218.722,20.587,176.675,16.594,0.912
