Pb206Pb204,errPb206Pb204,Pb207Pb204,errPb207Pb204,rho
115,0.4,76.11,0.25,0.9994
140.57,1.36,92.07,0.85,0.9999
152.16,0.9,99.36,0.57,0.9998
189.04,1.47,122.33,0.92,0.9999
104.52,0.92,69.67,0.58,0.9999
159.01,3.24,103.61,2.03,0.99998
105.13,0.34,69.94,0.22,0.9994
86.03,0.8,57.84,0.5,0.9999
140.53,1.05,91.92,0.66,0.9999
106,0.29,70.37,0.18,0.9992
67.36,0.64,46.23,0.4,0.9999
88.03,0.34,59.39,0.22,0.9994
807.75,5.87,510.73,3.68,0.9999
849.62,20.93,535.81,13.11,0.99999
276.78,10.27,177.28,6.44,0.99999
210.66,3.46,135.59,2.16,0.99998
428.82,8.83,271.14,5.5,0.99999
38.22,0.06,28.16,0.04,0.9949
