Pb207U235,sePb207U235,Pb206U238,sePb206U238,Pb208Th232,sePb208Th232,Th232U238,seTh232U238,rWX,rWY,rWZ,rXY,rXZ,rYZ
0.03073,0.00046,0.003269,0.000025,0.001010,0.000032,10.35,0.21,0.52,0.12,0,0.24,0,-0.63
0.03034,0.00044,0.003140,0.000025,0.000978,0.000032,9.77,0.20,0.56,0.14,0,0.25,0,-0.62
0.03022,0.00045,0.003183,0.000025,0.000992,0.000032,9.88,0.20,0.54,0.13,0,0.25,0,-0.62
0.05941,0.00094,0.004044,0.000041,0.001227,0.000041,9.71,0.19,0.65,0.20,0,0.30,0,-0.59
0.03377,0.00064,0.003343,0.000030,0.001043,0.000034,9.45,0.19,0.47,0.13,0,0.27,0,-0.61
0.0269,0.00044,0.002883,0.000024,0.000899,0.000030,9.16,0.18,0.51,0.13,0,0.25,0,-0.61
0.02867,0.00046,0.003077,0.000027,0.000946,0.000031,9.49,0.19,0.54,0.14,0,0.26,0,-0.61
0.03042,0.00048,0.003131,0.000024,0.000982,0.000032,9.23,0.18,0.50,0.12,0,0.24,0,-0.62
0.02826,0.00039,0.003174,0.000022,0.000985,0.000031,9.33,0.19,0.51,0.11,0,0.22,0,-0.64
0.03552,0.00058,0.003478,0.000035,0.001083,0.000037,9.36,0.19,0.63,0.19,0,0.30,0,-0.59
