J,err[J],,,,
0.007608838,0.000019,,,,
Ar39Ar40,errAr39Ar40,Ar36Ar40,errAr36Ar40,rho,Ar39
0.05035597,0.00007579,0.00247113,0.0000128,0.03790122,0.0416012
0.06314063,0.00007635,0.00238603,0.00000711,0.0656876,0.0944759
0.09736973,0.00010066,0.00183935,0.00000546,0.17043567,0.2820416
0.1236479,0.0001247,0.00148798,0.0000103,0.01482636,0.1848611
0.163314,0.00013827,0.00084059,0.00000326,0.07005939,0.2702872
0.16636073,0.00009456,0.0008183,0.00000358,0.06904545,0.7072563
0.17342377,0.00008007,0.00069327,0.00000247,0.0446183,0.7188705
0.16882484,0.00010857,0.00076984,0.00000534,0.03232924,0.4792595
0.16810922,0.00009152,0.00076617,0.0000051,0.066763,0.5001037
0.16112593,0.00014445,0.00087922,0.00000265,0.12236815,0.6326591
0.13930648,0.00012351,0.00119408,0.00000522,0.03419605,0.4050682
