J,err[J],,,,,
0.0247093174,2.9574330431886E-005,,,,,
Ar39,Ar39Ar40,errAr39Ar40,Ar36Ar40,errAr36Ar40,Ar39Ar36,errAr39Ar36
705.4328190152,0.4311842321,5.70965690764122E-005,5.81584712399799E-005,4.20255551399932E-007,7413.9540284278,53.5807060555
953.8159848514,0.4327024451,5.27667834345049E-005,4.6696145097023E-005,5.93719354934638E-007,9266.3418829669,117.8173550902
1252.8537034126,0.4347548595,0.000097132,3.04816574599095E-005,2.20843364895841E-007,14262.8352821906,103.3353473121
1151.3385381719,0.4349610202,6.91791302498064E-005,2.76893278235734E-005,2.24453703299394E-007,15708.6160761019,127.3323946247
1276.7464785467,0.4360379466,0.0001444637,1.9187208426276E-005,2.57058753261073E-007,22725.4500463599,304.4779897389
1167.5104672442,0.4365799816,0.0001242699,1.53176297033345E-005,2.6874171088803E-007,28501.7976056588,500.0684071957
1150.0706092498,0.4369026713,0.0001317026,1.15028372292832E-005,3.19923932687177E-007,37982.1658463864,1056.3828421128
1026.4488671008,0.4371037732,9.46645068337703E-005,9.85233546598994E-006,2.16090452913975E-007,44365.4983832352,973.0585239299
1009.2133964227,0.4372850201,0.0001327038,0.000007824,2.07387828071636E-007,55890.0779556033,1481.4754711989
929.0089047323,0.4371911871,0.000128132,8.42188625706066E-006,2.87128809537679E-007,51911.3146111259,1769.8156436646
905.2100033676,0.4371338309,0.0001118233,1.0183347316941E-005,4.20801483462697E-007,42926.3401644272,1773.8189509078
785.8345847087,0.4373241624,9.99977825368799E-005,7.8152493508281E-006,3.23939094111342E-007,55957.8002870959,2319.4391532933
1094.926442469,0.4372345311,8.08364317623547E-005,8.7345536093982E-006,3.29589763718653E-007,50058.0282255336,1888.8939777869
1210.7445166795,0.4372218904,0.0001130372,1.13783722355202E-005,2.26062763585021E-007,38425.6975753281,763.4407207275
