Ar39Ar40,errAr39Ar40,Ar36Ar40,errAr36Ar40,Ar39Ar36,errAr39Ar36
1.583828381,0.000254609,0.000018303,0.000000676,86532.271648075,3190.856046595
1.580263513,0.000230185,0.000029332,0.000001019,53875.675561013,1874.697618650
1.585385328,0.000200746,0.000021649,0.000000540,73232.940756068,1823.675810731
1.585258159,0.000289539,0.000017190,0.000000545,92220.773777039,2918.189097271
1.582941600,0.000191943,0.000022717,0.000000655,69680.140411138,2009.754253280
1.585585929,0.000212838,0.000014009,0.000000735,113184.841742710,5940.679352487
1.582891706,0.000231797,0.000021986,0.000000295,71995.593373328,961.552972322
1.585868157,0.000188251,0.000015736,0.000000588,100776.992517343,3766.260640887
1.587308628,0.000188777,0.000013165,0.000000615,120567.673781681,5637.242287052
1.585522485,0.000235258,0.000014632,0.000000710,108362.521518779,5245.573052979
1.586519382,0.000209651,0.000013725,0.000000555,115593.190272576,4666.709406976
1.579404836,0.000411014,0.000027823,0.000001133,56765.556283676,2321.877803304
