zeta,err[zeta],,,,,,,,,,
350,10,,,,,,,,,,
Ns,A,U1,err[U1],U2,err[U2],U3,err[U3],U4,err[U4],U5,err[U5]
43,6484,3.309,0.066,4.265,0.085,4.019,0.08,3.989,0.08,4.625,0.092
47,12509,2.962,0.059,,,,,,,,
24,4312,2.714,0.054,2.819,0.056,3.391,0.068,4.222,0.084,3.337,0.067
282,5536,32.23,0.64,28.73,0.57,,,,,,
261,3490,47.73,0.95,,,,,,,,
27,1133,13,0.26,,,,,,,,
141,5520,12,0.24,,,,,,,,
192,6041,22.13,0.44,22.69,0.45,,,,,,
12,820,7.903,0.16,9.498,0.19,,,,,,
50,6241,5.129,0.1,4.664,0.093,4.799,0.096,,,,
55,4179,7.884,0.16,9.696,0.19,9.503,0.19,9.892,0.2,,
65,2405,14.39,0.29,16.81,0.34,,,,,,
17,4228,1.323,0.026,,,,,,,,
3,1950,0.9079,0.018,0.8668,0.017,0.8444,0.017,0.8551,0.017,,
120,6490,11.56,0.23,9.407,0.19,10.04,0.2,,,,
154,1457,69.86,1.4,74.98,1.5,67.04,1.3,,,,
292,6823,24.43,0.49,22.71,0.45,22.61,0.45,,,,
27,3563,3.799,0.076,3.482,0.07,3.791,0.076,3.904,0.078,,
111,5632,10.8,0.22,10.75,0.21,,,,,,
16,2820,3.963,0.079,3.464,0.069,3.643,0.073,3.694,0.074,,
155,6905,12.19,0.24,13.72,0.27,12.33,0.25,12.99,0.26,11.04,0.22
45,2669,9.384,0.19,10.24,0.2,9.069,0.18,,,,
68,6453,5.822,0.12,6.822,0.14,5.187,0.1,5.801,0.12,,
1007,4266,136.6,2.7,135.8,2.7,128.9,2.6,,,,
494,8007,33.75,0.67,35.2,0.7,32.95,0.66,,,,
