K40Ca44,errK40Ca44,Ca40Ca44,errCa40Ca44,K40Ca40,errK40Ca40
54.749,3.092,94.316,5.251,0.5805,0.0179
65.793,4.093,99.996,6.15,0.658,0.0216
79.784,5.44,113.167,7.646,0.705,0.0244
79.413,5.366,101.12,6.775,0.7853,0.0273
89.754,6.423,111.515,7.921,0.8049,0.0287
102.107,7.649,118.681,8.834,0.8603,0.0313
130.123,10.859,139.815,11.612,0.9307,0.0358
119.797,9.648,126.548,10.139,0.9467,0.036
139.483,12.01,145.562,12.479,0.9582,0.0375
135.326,11.529,140.15,11.887,0.9656,0.0378
152.376,13.564,151.266,13.414,1.0073,0.04
153.985,13.653,146.845,12.973,1.0486,0.0417
144.645,12.317,132.8,11.266,1.0892,0.0424
184.432,17.852,177.12,17.091,1.0413,0.0432
160.832,14.483,149.376,13.405,1.0767,0.0431
218.38,22.881,204.152,21.336,1.0697,0.0462
147.093,12.435,134.613,11.338,1.0927,0.0421
174.808,16.124,160.95,14.8,1.0861,0.0436
185.403,17.466,162.86,15.3,1.1384,0.0462
193.415,18.297,168.628,15.91,1.147,0.0465
186.42,17.41,166.888,15.542,1.117,0.0449
173.443,15.426,149.031,13.217,1.1638,0.0455
197.103,18.644,171.947,16.222,1.1463,0.0462
152.612,12.72,135.733,11.275,1.1244,0.0425
166.93,14.407,149.985,12.904,1.113,0.0425
175.897,15.176,149.926,12.899,1.1732,0.0445
180.054,15.766,157.136,13.72,1.1458,0.0437
198.422,18.289,170.538,15.679,1.1635,0.0457
219.557,20.757,179.796,16.961,1.2211,0.0481
218.722,20.587,176.675,16.594,1.238,0.0488
