Ar39Ar40,errAr39Ar40,Ar36Ar40,errAr36Ar40,Ar39Ar36,errAr39Ar36
0.436175572,0.000065759,0.000045788,0.000000176,9525.987385624,36.268015328
0.437255505,0.000055383,0.000037099,0.000000223,11786.308219391,71.501977764
0.437799054,0.000062604,0.000033238,0.000000234,13171.650052779,93.437539807
0.438122645,0.000061532,0.000029339,0.000000293,14933.179923850,149.127922702
0.438324308,0.000049642,0.000027756,0.000000167,15792.130372307,94.606784382
0.438506061,0.000055040,0.000025656,0.000000155,17091.587957930,103.937398680
0.438411966,0.000061347,0.000026338,0.000000254,16645.763955380,159.922413837
0.438354450,0.000062804,0.000028096,0.000000404,15601.825922811,223.791986040
0.438545313,0.000058332,0.000025576,0.000000293,17146.494474496,196.681289187
0.438455431,0.000051097,0.000026586,0.000000303,16492.015320920,187.484684283
0.438442755,0.000057487,0.000029298,0.000000181,14964.960960258,92.046369391
0.438930864,0.000050006,0.000028793,0.000000223,15244.137588963,117.769842014
0.439177725,0.000059542,0.000025828,0.000000223,17003.670529901,146.039018375
0.439897719,0.000055367,0.000024286,0.000000130,18112.898111208,96.366143666
0.440085477,0.000056000,0.000025985,0.000000257,16936.059800585,166.553487167
0.439951590,0.000077028,0.000027938,0.000000299,15747.163687695,168.628876254
0.439870323,0.000058130,0.000034927,0.000000256,12593.875397321,92.198009787
0.431625183,0.000065320,0.000096717,0.000000574,4462.745977110,26.499431367
