Pb204Pb206,errPb204Pb206,Pb207Pb206,errPb207Pb206,rho
0.008696,0.00003,0.66182,0.00014,0.848
0.007114,0.000069,0.65497,0.00028,0.967
0.006572,0.000039,0.65302,0.00017,0.909
0.00529,0.000041,0.64712,0.00017,0.919
0.009568,0.000084,0.66664,0.00033,0.975
0.006289,0.000128,0.65159,0.0005,0.989
0.009512,0.000031,0.66528,0.00014,0.855
0.011624,0.000108,0.67228,0.00043,0.982
0.007116,0.000053,0.65409,0.00022,0.946
0.009434,0.000026,0.66387,0.00012,0.804
0.014846,0.00014,0.68639,0.00055,0.986
0.01136,0.000044,0.67462,0.00019,0.898
0.001238,0.000009,0.63228,0.00008,0.49
0.001177,0.000029,0.63065,0.00013,0.86
0.003613,0.000134,0.6405,0.0005,0.985
0.004747,0.000078,0.64363,0.00031,0.975
0.002332,0.000048,0.6323,0.0002,0.943
0.026163,0.000041,0.73665,0.00017,0.796
