Rb87Sr86,errRb87Sr86,Sr87Sr86,errSr87Sr86
0.0312,0.0008,0.7013,0.0001
0.0536,0.0006,0.7024,0.0001
0.0316,0.0010,0.7011,0.0001
0.0327,0.0008,0.7011,0.0001
0.0271,0.0004,0.7009,0.0001
0.0149,0.0002,0.7001,0.0001
0.0238,0.0007,0.7007,0.0001
0.0074,0.0004,0.6997,0.0001
0.0176,0.0011,0.7005,0.0001
0.0310,0.0006,0.7012,0.0001
0.0199,0.0005,0.7005,0.0001
0.0215,0.0006,0.7006,0.0001
0.0306,0.0013,0.7010,0.0001
0.0340,0.0008,0.7013,0.0001
0.1705,0.0008,0.7101,0.0001
0.1289,0.0006,0.7077,0.0001
0.1278,0.0006,0.7075,0.0001
