Rb87Sr87,errRb87Sr87,Sr86Sr87,errSr86Sr87,rho
0.04449,0.00114,1.42592,0.00020,0.0056
0.07631,0.00085,1.42369,0.00020,0.0127
0.04507,0.00143,1.42633,0.00020,0.0045
0.04664,0.00114,1.42633,0.00020,0.0058
0.03866,0.00057,1.42674,0.00020,0.0097
0.02128,0.00029,1.42837,0.00020,0.0106
0.03397,0.00100,1.42714,0.00020,0.0049
0.01058,0.00057,1.42918,0.00020,0.0026
0.02512,0.00157,1.42755,0.00020,0.0023
0.04421,0.00086,1.42613,0.00020,0.0074
0.02841,0.00071,1.42755,0.00020,0.0057
0.03069,0.00086,1.42735,0.00020,0.0051
0.04365,0.00185,1.42653,0.00020,0.0034
0.04848,0.00114,1.42592,0.00020,0.0061
0.24011,0.00113,1.40825,0.00020,0.0300
0.18214,0.00085,1.41303,0.00020,0.0303
0.18064,0.00085,1.41343,0.00020,0.0301
