Th232Pb208,errTh232Pb208,Pb204Pb208,errPb204Pb208
40.82,1.18,0.02442,0.00027
45.45,0.91,0.02477,0.0003
40.49,0.97,0.02432,0.00027
40.32,1.05,0.02492,0.0003
46.73,0.93,0.02467,0.0003
44.84,0.9,0.025,0.00033
41.15,0.82,0.02487,0.00033
51.81,1.92,0.0241,0.00032
38.17,0.76,0.02464,0.00035
52.63,1.21,0.02451,0.0003
42.55,0.85,0.02497,0.00053
84.75,1.69,0.0233,0.00028
51.55,1.03,0.02412,0.00029
47.39,0.95,0.02483,0.00031
46.3,0.93,0.02424,0.00032
30.86,0.62,0.02468,0.00033
24.33,0.49,0.02492,0.00028
32.05,0.64,0.02501,0.00041
