Th232Pb208,errTh232Pb208,Pb204Pb208,errPb204Pb208,Th232Pb204,errTh232Pb204
40.82,1.18,0.02442,0.00027,1672,52
45.45,0.91,0.02477,0.0003,1835,43
40.49,0.97,0.02432,0.00027,1665,44
40.32,1.05,0.02492,0.0003,1618,46
46.73,0.93,0.02467,0.0003,1894,44
44.84,0.9,0.025,0.00033,1794,43
41.15,0.82,0.02487,0.00033,1655,40
51.81,1.92,0.0241,0.00032,2150,85
38.17,0.76,0.02464,0.00035,1549,38
52.63,1.21,0.02451,0.0003,2147,56
42.55,0.85,0.02497,0.00053,1704,50
84.75,1.69,0.0233,0.00028,3637,85
51.55,1.03,0.02412,0.00029,2137,50
47.39,0.95,0.02483,0.00031,1909,45
46.3,0.93,0.02424,0.00032,1910,46
30.86,0.62,0.02468,0.00033,1250,30
24.33,0.49,0.02492,0.00028,976,23
32.05,0.64,0.02501,0.00041,1281,33
