U238Pb206,errU238Pb206,Pb208Pb206,errPb208Pb206,Th232U238
250,9.3,1.8,0.067,4.44
80.6,3,1.92,0.071,5.3
256.4,17.4,1.74,0.118,4.19
163.9,11.3,1.57,0.108,1.25
147.1,6.2,1.69,0.071,1.75
64.5,2.1,1.99,0.064,6.43
151.5,5.6,1.71,0.063,3.15
116.3,5,1.87,0.08,1.68
270.3,9.5,3.52,0.123,14.97
100,4.6,2.37,0.109,10.77
263.2,12.1,1.66,0.076,2.34
270.3,11.6,4.26,0.183,17.32
66.2,3.6,3.06,0.165,26.71
47.6,1.5,2.36,0.073,16.04
238.1,14.3,8.33,0.5,50.7
69.9,2.2,2.1,0.065,5.09
30.6,0.6,2.14,0.043,10.51
303,14.5,2.25,0.108,7.21
140.8,4.1,2.4,0.07,10.02
98,3,2.34,0.073,12.24
