Pb207U235,sePb207U235,Pb206U238,sePb206U238,Pb207Pb206,sePb207Pb206,rhoXY,rhoYZ
0.2819,0.00036,0.03985,0.00004,0.05131,0.00004,,
0.2814,0.00092,0.0398,0.00004,0.05128,0.00016,,
0.2814,0.00083,0.03978,0.0001,0.05131,0.00008,,
0.2812,0.00061,0.03976,0.00005,0.05129,0.00009,,
0.2814,0.00043,0.03972,0.00004,0.05139,0.00006,,
0.2811,0.0008,0.03971,0.0001,0.05134,0.00007,,
0.2813,0.00067,0.03967,0.00004,0.05143,0.00011,,
0.281,0.00057,0.03966,0.00006,0.05139,0.00007,,
0.2816,0.00043,0.03974,0.00004,0.0514,0.00006,,
0.2554,0.00041,0.03607,0.00005,0.05135,0.00004,,
