Pb207U235,sePb207U235,Pb206U238,sePb206U238,Pb208Th232,sePb208Th232,Th232U238,seTh232U238,rWX,rWY,rWZ,rXY,rXZ,rYZ
0.03072594,0.00045672,0.00326900,0.00002518,0.00100969,0.00003229,10.35303862,0.20706077,0.51829313,0.12484087,0.00000000,0.24086924,0.00000000,-0.62529766
0.03033567,0.00043713,0.00314000,0.00002539,0.00097800,0.00003163,9.76657877,0.19533158,0.56126029,0.14035758,0.00000000,0.25007574,0.00000000,-0.61842182
0.03022469,0.00045186,0.00318300,0.00002547,0.00099193,0.00003179,9.87459267,0.19749185,0.53524864,0.13362526,0.00000000,0.24965081,0.00000000,-0.62397847
0.05941202,0.00093741,0.00404400,0.00004138,0.00122721,0.00004142,9.70779536,0.19415591,0.64850684,0.19659084,0.00000000,0.30314381,0.00000000,-0.59252838
0.03377118,0.00064359,0.00334300,0.00003022,0.00104294,0.00003437,9.44554642,0.18891093,0.47438505,0.13012366,0.00000000,0.27429966,0.00000000,-0.60681923
0.02689919,0.00043835,0.00288300,0.00002407,0.00089894,0.00002961,9.15918666,0.18318373,0.51222343,0.12978870,0.00000000,0.25338299,0.00000000,-0.60710371
0.02866686,0.00045709,0.00307700,0.00002663,0.00094608,0.00003093,9.48496633,0.18969933,0.54277061,0.14368753,0.00000000,0.26472975,0.00000000,-0.61177738
0.03042133,0.00047736,0.00313100,0.00002450,0.00098231,0.00003152,9.23361034,0.18467221,0.49860792,0.12158124,0.00000000,0.24384138,0.00000000,-0.62331294
0.02825826,0.00039198,0.00317400,0.00002242,0.00098524,0.00003096,9.33358223,0.18667164,0.50923516,0.11447851,0.00000000,0.22480480,0.00000000,-0.63650413
0.03551843,0.00057577,0.00347800,0.00003548,0.00108338,0.00003673,9.35453695,0.18709074,0.62936623,0.18938659,0.00000000,0.30091636,0.00000000,-0.58989414
