"[X,Y]","s[,X1]","s[,X2]","s[,X3]","s[,X4]","s[,X5]","s[,X6]","s[,X7]","s[,X8]","s[,X9]","s[,X10]","s[,X11]","s[,X12]","s[,Y1]","s[,Y2]","s[,Y3]","s[,Y4]","s[,Y5]","s[,Y6]","s[,Y7]","s[,Y8]","s[,Y9]","s[,Y10]","s[,Y11]","s[,Y12]"
0.442177,0.0000006247,0.00000037,0.00000002754,0.00000002621,0.00000002559,0.00000002075,0.00000002807,0.00000001978,0.00000001796,0.0000000217,0.00000002399,0.00000002579,0.000000001908,5.552E-10,3.711E-11,4.759E-11,3.974E-11,6.109E-11,2.81E-11,6.027E-11,6.964E-11,6.119E-11,4.219E-11,3.762E-11
0.513447,0.00000037,0.0000009531,0.00000003952,0.00000003064,0.00000002991,0.00000002423,0.00000003283,0.00000002309,0.00000002095,0.00000002534,0.00000002803,0.00000003015,8.69E-10,0.000000001282,-3.166E-10,5.559E-11,4.64E-11,7.13E-11,3.28E-11,7.033E-11,8.124E-11,7.143E-11,4.925E-11,4.393E-11
0.563044,0.00000002754,0.00000003952,0.0000008956,0.0000005575,0.00000003296,0.00000002667,0.00000003619,0.00000002541,0.00000002306,0.0000000279,0.00000003087,0.00000003321,6.641E-11,-4.996E-10,4.01E-10,5.29E-10,5.108E-11,7.846E-11,3.61E-11,7.738E-11,8.937E-11,7.861E-11,5.421E-11,4.835E-11
0.536936,0.00000002621,0.00000003064,0.0000005575,0.0000008255,0.000000005011,0.00000002539,0.00000003442,0.00000002419,0.00000002195,0.00000002655,0.00000002937,0.0000000316,6.322E-11,5.073E-11,3.784E-10,6.89E-10,-1.64E-10,7.469E-11,3.436E-11,7.366E-11,8.508E-11,7.482E-11,5.16E-11,4.602E-11
0.524814,0.00000002559,0.00000002991,0.00000003296,0.000000005011,0.0000006799,0.0000003131,0.0000000336,0.00000002362,0.00000002143,0.00000002592,0.00000002868,0.00000003085,6.174E-11,4.954E-11,4.434E-11,2.858E-10,5.168E-10,3.856E-10,3.355E-11,7.194E-11,8.31E-11,7.307E-11,5.039E-11,4.494E-11
0.428886,0.00000002075,0.00000002423,0.00000002667,0.00000002539,0.0000003131,0.0000004636,0.0000000333,0.00000001917,0.0000000174,0.00000002102,0.00000002324,0.00000002498,5.011E-11,4.018E-11,3.595E-11,4.611E-11,2.406E-10,0.00000000147,6.745E-10,5.841E-11,6.749E-11,5.929E-11,4.088E-11,3.645E-11
0.573513,0.00000002807,0.00000003283,0.00000003619,0.00000003442,0.0000000336,0.0000000333,0.0000008047,0.000000456,0.0000000235,0.00000002844,0.00000003147,0.00000003386,6.77E-11,5.434E-11,4.864E-11,6.24E-11,5.207E-11,8.93E-10,5.62E-10,0.00000000206,9.109E-11,8.014E-11,5.527E-11,4.929E-11
0.409419,0.00000001978,0.00000002309,0.00000002541,0.00000002419,0.00000002362,0.00000001917,0.000000456,0.0000004827,-0.0000000188,0.00000002004,0.00000002215,0.0000000238,4.777E-11,3.83E-11,3.427E-11,4.395E-11,3.67E-11,5.644E-11,4.369E-10,0.000000001178,-0.000000001097,5.652E-11,3.897E-11,3.474E-11
0.372795,0.00000001796,0.00000002095,0.00000002306,0.00000002195,0.00000002143,0.0000000174,0.0000000235,-0.0000000188,0.0000004284,0.0000001837,0.0000000201,0.0000000216,4.338E-11,3.478E-11,3.111E-11,3.99E-11,3.332E-11,5.125E-11,2.357E-11,9.351E-10,0.000000002197,1.598E-10,3.538E-11,3.155E-11
0.447685,0.0000000217,0.00000002534,0.0000000279,0.00000002655,0.00000002592,0.00000002102,0.00000002844,0.00000002004,0.0000001837,0.0000004665,0.00000006516,0.00000002612,5.237E-11,4.201E-11,3.759E-11,4.821E-11,4.025E-11,6.188E-11,2.846E-11,6.104E-11,1.153E-10,0.000000001664,5.82E-10,3.811E-11
